,ID,gene_assignment,logFC,AveExpr,t,P.Value,adj.P.Val,B
1,7912343, CASZ1 ,-0.144163728,2.480495562,-3.466038793,0.001334498,0.999925768,-1.060566433
2,7989951, LOC100131796 ,-0.315200629,2.023345566,-3.327842623,0.001962352,0.999925768,-1.366692292
3,8170520, CNGA2 ,-0.136384719,2.210444437,-3.264966047,0.002333577,0.999925768,-1.504052062
4,7940175, OR4D6 ,-0.128419904,2.378964856,-3.240687855,0.002494086,0.999925768,-1.556751134
5,7998817, CEMP1 ,-0.110928225,2.629653554,-3.232349622,0.002551595,0.999925768,-1.574805876
6,7974533, PELI2 ,0.081308927,2.504921139,3.186660601,0.002889764,0.999925768,-1.673324969
7,8002830, LDHD ,-0.079678089,2.381097853,-3.061366061,0.004048692,0.999925768,-1.939785819
8,7895941,,-0.395919495,2.59311701,-3.039552457,0.004290796,0.999925768,-1.985597146
9,8123763, RN7SL554P ,0.130681196,2.357930263,2.970586452,0.005149082,0.999925768,-2.12925334
10,7904874, NBPF9 ,0.206502502,2.513172376,2.970423211,0.005151293,0.999925768,-2.129591203
11,8006229, RNF135 ,-0.097733159,2.297891216,-2.95836919,0.005317034,0.999925768,-2.15451088
12,8180228,,-0.081410595,2.498907136,-2.952920637,0.005393583,0.999925768,-2.16575617
13,7985765, MIR7-2 ,-0.081417378,2.505305035,-2.9448926,0.005508259,0.999925768,-2.182303968
14,8127754, FLJ13744 ,-0.254081643,2.088333524,-2.944235308,0.005517749,0.999925768,-2.183657684
15,7893958,,0.578140361,2.415679252,2.939592806,0.005585214,0.999925768,-2.193214214
16,8179935, TNXB ,-0.061766918,2.536054851,-2.920232626,0.005874984,0.999925768,-2.23297446
17,7948046, OR4C9P ,-0.116087129,2.351469835,-2.917537834,0.005916417,0.999925768,-2.238496906
18,8107706, LMNB1 ,-0.10230443,2.087756239,-2.913714002,0.005975681,0.999925768,-2.24632809
19,8103725,,-0.116855373,2.703147889,-2.891312432,0.00633419,0.999925768,-2.292087666
20,7913235, PLA2G2C ,-0.081632666,2.441041553,-2.885267233,0.006434329,0.999925768,-2.304401205
21,7906703, NDUFS2 ,0.077121279,2.187745935,2.877498153,0.006565201,0.999925768,-2.32020417
22,7940600, INCENP ,-0.098645449,2.379829522,-2.875666179,0.006596421,0.999925768,-2.32392695
23,8161852,,-0.416110858,2.066987847,-2.872950331,0.00664296,0.999925768,-2.329443321
24,7938878,,-0.089030446,2.285943104,-2.871251408,0.006672229,0.999925768,-2.332892589
25,8174692, SEPT6 ,0.133362228,2.151025901,2.860210422,0.006865398,0.999925768,-2.355279691
26,7896612,,0.205265358,2.544896618,2.832416292,0.007375045,0.999925768,-2.411411363
27,8118794, HMGA1 ,0.177878738,2.49158053,2.811722055,0.007777193,0.999925768,-2.452993223
28,8063509, RTFDC1 ,0.096126423,2.15528593,2.804464949,0.007922992,0.999925768,-2.467532115
29,7894699,,0.216057991,2.483442666,2.796841183,0.008078898,0.999925768,-2.48278129
30,7971899, RN7SL375P ,-0.085870554,2.490210796,-2.767877323,0.008697605,0.999925768,-2.540486611
31,8050095, LINC00487 ,-0.077561591,2.556324451,-2.7476539,0.009155409,0.999925768,-2.580561344
32,8112940, SSBP2 ,-0.097890929,2.109994315,-2.74500634,0.009216971,0.999925768,-2.585794429
33,8142730, ZNF800 ,0.114550738,2.227962957,2.737865668,0.009384931,0.999925768,-2.599892996
34,7898721, RN7SL386P ,-0.281114529,1.946281905,-2.703958144,0.010221922,0.999925768,-2.666529909
35,8141688, PLOD3 ,-0.093100348,2.280563071,-2.698418785,0.010365053,0.999925768,-2.677367059
36,8093993, TADA2B ,-0.142096333,2.072025305,-2.69126319,0.010552691,0.999925768,-2.691345617
37,8070182, RCAN1 ,-0.067998017,2.539754201,-2.690877039,0.010562906,0.999925768,-2.692099308
38,8010673, SLC25A10 ,-0.082245235,2.370786383,-2.690117554,0.010583023,0.999925768,-2.693581475
39,7940869, FERMT3 ,0.07572364,2.349674233,2.679068749,0.010879716,0.999925768,-2.71511395
40,8034712, PODNL1 ,-0.071076993,2.470569393,-2.658338798,0.011457212,0.999925768,-2.755362593
41,7982267,,-0.189508661,2.807595172,-2.65828937,0.011458622,0.999925768,-2.755458324
42,7905929, EFNA1 ,-0.094575759,2.279691593,-2.650356496,0.011687031,0.999925768,-2.770807915
43,7933164, HNRNPF ,-0.110683676,2.348818407,-2.646099847,0.011811317,0.999925768,-2.779032215
44,7892669,,-0.172711775,2.531516961,-2.637126679,0.012077317,0.999925768,-2.796341691
45,8039842, KIR2DS2 ,-0.118659603,2.487079632,-2.63683918,0.01208593,0.999925768,-2.796895663
46,7971335, CCDC122 ,0.106579514,2.174180444,2.628546074,0.012336834,0.999925768,-2.812858708
47,8012843, ZNF18 ,-0.096471523,2.122967126,-2.619670289,0.012610674,0.999925768,-2.829907555
48,7894569,,0.281770642,1.935869042,2.614668203,0.012767456,0.999925768,-2.839499341
49,7913776, IFNLR1 ,-0.079738054,2.329661516,-2.602992839,0.013140405,0.999925768,-2.861841448
50,8092959, PPP1R2 ,0.126749691,2.28650543,2.59165288,0.013512204,0.999925768,-2.883479679
51,8174710, RPL39 ,0.206307348,2.804970024,2.583963655,0.013769781,0.999925768,-2.898116839
52,8020844, ASXL3 ,-0.066494246,2.269264252,-2.572925071,0.014147445,0.999925768,-2.919080181
53,8039769,,-0.093588587,2.569966714,-2.572599415,0.014158729,0.999925768,-2.919697741
54,8133018, ZNF716 ,-0.125134114,2.434452291,-2.572450732,0.014163884,0.999925768,-2.919979681
55,7941599, NPAS4 ,-0.083881002,2.455729462,-2.564316921,0.014448526,0.999925768,-2.935387103
56,7894462,,-0.321989587,2.06476757,-2.562614882,0.014508749,0.999925768,-2.938607127
57,7893617,,-0.730982355,2.084200462,-2.5587655,0.014645799,0.999925768,-2.945884448
58,8142981, PODXL ,-0.095844964,2.299627977,-2.539321772,0.015356368,0.999925768,-2.982532822
59,7940177, OR4D10 ,-0.097482591,2.329431457,-2.53785001,0.015411418,0.999925768,-2.985299335
60,7938750, LOC494141 ,-0.092111292,2.213317418,-2.533087292,0.015590803,0.999925768,-2.994244657
61,8180300,,0.084071369,2.49302187,2.532949124,0.015596035,0.999925768,-2.994503999
62,7946749, CALCA ,-0.08389045,2.52516138,-2.531048026,0.015668193,0.999925768,-2.99807139
63,8000244, USP31 ,-0.093092256,2.340387748,-2.526714394,0.015833824,0.999925768,-3.006196756
64,8030578, FLJ26850 ,-0.104303185,2.140551523,-2.5255688,0.015877875,0.999925768,-3.008343145
65,8180210,,-0.075689801,2.412313642,-2.525401196,0.015884329,0.999925768,-3.008657114
66,8180293,,-0.412434026,2.588230563,-2.520977584,0.016055546,0.999925768,-3.016938758
67,7929612,,0.116355007,2.326808404,2.510782557,0.016456589,0.999925768,-3.03598842
68,7893797,,0.28401109,2.080397613,2.503621488,0.016743733,0.999925768,-3.049338169
69,7971931, RN7SL761P ,-0.193357533,2.01651885,-2.499392188,0.016915461,0.999925768,-3.057210467
70,7914127, IFI6 ,0.079693583,2.523984615,2.498334049,0.016958677,0.999925768,-3.05917866
